mean,std,min,25%,50%,75%,max,X,Y,Z,flag
49.568999999999996,0.0,49.568999999999996,49.568999999999996,49.568999999999996,49.568999999999996,49.568999999999996,126,95,0,0.0
47.98500000000001,7.78360568894479e-15,47.985,47.985,47.985,47.985,47.985,126,95,0,0.0
46.168,0.0,46.168,46.168,46.168,46.168,46.168,126,95,0,0.0
44.857,0.0,44.857,44.857,44.857,44.857,44.857,126,95,0,0.0
47.21800000000001,7.78360568894479e-15,47.218,47.218,47.218,47.218,47.218,126,95,0,0.0
50.739,0.0,50.739,50.739,50.739,50.739,50.739,126,95,0,0.0
51.579,7.78360568894479e-15,51.57899999999999,51.57899999999999,51.57899999999999,51.57899999999999,51.57899999999999,126,95,0,0.0
45.37,0.0,45.37,45.37,45.37,45.37,45.37,126,95,0,0.0
40.224,7.78360568894479e-15,40.224000000000004,40.224000000000004,40.224000000000004,40.224000000000004,40.224000000000004,126,95,0,0.0
43.465,0.0,43.465,43.465,43.465,43.465,43.465,126,95,0,0.0
47.886,0.0,47.886,47.886,47.886,47.886,47.886,126,95,0,0.0
54.132,0.0,54.132,54.132,54.132,54.132,54.132,126,95,0,0.0
46.03199999999999,7.78360568894479e-15,46.032,46.032,46.032,46.032,46.032,126,95,0,0.0
44.151999999999994,7.78360568894479e-15,44.152,44.152,44.152,44.152,44.152,126,95,0,0.0
40.246,0.0,40.246,40.246,40.246,40.246,40.246,126,95,0,0.0
38.279,0.0,38.279,38.279,38.279,38.279,38.279,126,95,0,0.0
43.18,0.0,43.18,43.18,43.18,43.18,43.18,126,95,0,0.0
50.236,7.78360568894479e-15,50.236000000000004,50.236000000000004,50.236000000000004,50.236000000000004,50.236000000000004,126,95,0,0.0
53.25899999999999,0.0,53.25899999999999,53.25899999999999,53.25899999999999,53.25899999999999,53.25899999999999,126,95,0,0.0
51.99700000000001,7.78360568894479e-15,51.997,51.997,51.997,51.997,51.997,126,95,0,0.0
49.70600000000001,7.78360568894479e-15,49.706,49.706,49.706,49.706,49.706,126,95,0,0.0
49.945,0.0,49.945,49.945,49.945,49.945,49.945,126,95,0,0.0
52.855,0.0,52.855,52.855,52.855,52.855,52.855,126,95,0,0.0
57.065,0.0,57.065,57.065,57.065,57.065,57.065,126,95,0,0.0
38.723000000000006,7.78360568894479e-15,38.723,38.723,38.723,38.723,38.723,126,95,0,0.0
36.54,0.0,36.54,36.54,36.54,36.54,36.54,126,95,0,0.0
35.501,0.0,35.501,35.501,35.501,35.501,35.501,126,95,0,0.0
36.986,0.0,36.986,36.986,36.986,36.986,36.986,126,95,0,0.0
40.504,0.0,40.504,40.504,40.504,40.504,40.504,126,95,0,0.0
42.409,0.0,42.409,42.409,42.409,42.409,42.409,126,95,0,0.0
43.15,0.0,43.15,43.15,43.15,43.15,43.15,126,95,0,0.0
37.138000000000005,0.0,37.138000000000005,37.138000000000005,37.138000000000005,37.138000000000005,37.138000000000005,126,95,0,0.0
31.293000000000003,0.0,31.293000000000003,31.293000000000003,31.293000000000003,31.293000000000003,31.293000000000003,126,95,0,0.0
37.96699999999999,7.78360568894479e-15,37.967,37.967,37.967,37.967,37.967,126,95,0,0.0
48.111,7.78360568894479e-15,48.111000000000004,48.111000000000004,48.111000000000004,48.111000000000004,48.111000000000004,126,95,0,0.0
57.815,0.0,57.815,57.815,57.815,57.815,57.815,126,95,0,0.0
49.393,0.0,49.393,49.393,49.393,49.393,49.393,134,95,0,0.0
47.87200000000001,7.78360568894479e-15,47.872,47.872,47.872,47.872,47.872,134,95,0,0.0
46.187000000000005,7.78360568894479e-15,46.187,46.187,46.187,46.187,46.187,134,95,0,0.0
44.923,0.0,44.923,44.923,44.923,44.923,44.923,134,95,0,0.0
47.262,0.0,47.262,47.262,47.262,47.262,47.262,134,95,0,0.0
50.79399999999999,7.78360568894479e-15,50.794,50.794,50.794,50.794,50.794,134,95,0,0.0
51.601000000000006,0.0,51.601000000000006,51.601000000000006,51.601000000000006,51.601000000000006,51.601000000000006,134,95,0,0.0
45.36600000000001,0.0,45.36600000000001,45.36600000000001,45.36600000000001,45.36600000000001,45.36600000000001,134,95,0,0.0
40.141,0.0,40.141,40.141,40.141,40.141,40.141,134,95,0,0.0
43.213,0.0,43.213,43.213,43.213,43.213,43.213,134,95,0,0.0
47.72,0.0,47.72,47.72,47.72,47.72,47.72,134,95,0,0.0
54.09199999999999,7.78360568894479e-15,54.092,54.092,54.092,54.092,54.092,134,95,0,0.0
45.976000000000006,0.0,45.976000000000006,45.976000000000006,45.976000000000006,45.976000000000006,45.976000000000006,134,95,0,0.0
44.01,0.0,44.01,44.01,44.01,44.01,44.01,134,95,0,0.0
40.05599999999999,7.78360568894479e-15,40.056,40.056,40.056,40.056,40.056,134,95,0,0.0
38.144,0.0,38.144,38.144,38.144,38.144,38.144,134,95,0,0.0
43.14100000000001,7.78360568894479e-15,43.141000000000005,43.141000000000005,43.141000000000005,43.141000000000005,43.141000000000005,134,95,0,0.0
50.24,0.0,50.24,50.24,50.24,50.24,50.24,134,95,0,0.0
53.261,0.0,53.261,53.261,53.261,53.261,53.261,134,95,0,0.0
51.978,0.0,51.978,51.978,51.978,51.978,51.978,134,95,0,0.0
49.671,7.78360568894479e-15,49.67100000000001,49.67100000000001,49.67100000000001,49.67100000000001,49.67100000000001,134,95,0,0.0
49.918,0.0,49.918,49.918,49.918,49.918,49.918,134,95,0,0.0
52.847,0.0,52.847,52.847,52.847,52.847,52.847,134,95,0,0.0
57.074999999999996,7.78360568894479e-15,57.075,57.075,57.075,57.075,57.075,134,95,0,0.0
38.746,0.0,38.746,38.746,38.746,38.746,38.746,134,95,0,0.0
36.597,0.0,36.597,36.597,36.597,36.597,36.597,134,95,0,0.0
35.571999999999996,0.0,35.571999999999996,35.571999999999996,35.571999999999996,35.571999999999996,35.571999999999996,134,95,0,0.0
37.124,0.0,37.124,37.124,37.124,37.124,37.124,134,95,0,0.0
40.663000000000004,0.0,40.663000000000004,40.663000000000004,40.663000000000004,40.663000000000004,40.663000000000004,134,95,0,0.0
42.434,0.0,42.434,42.434,42.434,42.434,42.434,134,95,0,0.0
43.028999999999996,0.0,43.028999999999996,43.028999999999996,43.028999999999996,43.028999999999996,43.028999999999996,134,95,0,0.0
36.988,0.0,36.988,36.988,36.988,36.988,36.988,134,95,0,0.0
31.156999999999993,3.891802844472395e-15,31.156999999999996,31.156999999999996,31.156999999999996,31.156999999999996,31.156999999999996,134,95,0,0.0
37.874,0.0,37.874,37.874,37.874,37.874,37.874,134,95,0,0.0
48.073,0.0,48.073,48.073,48.073,48.073,48.073,134,95,0,0.0
57.81600000000001,7.78360568894479e-15,57.816,57.816,57.816,57.816,57.816,134,95,0,0.0
49.931999999999995,0.0,49.931999999999995,49.931999999999995,49.931999999999995,49.931999999999995,49.931999999999995,126,105,0,0.0
48.098000000000006,7.78360568894479e-15,48.098,48.098,48.098,48.098,48.098,126,105,0,0.0
46.04399999999999,7.78360568894479e-15,46.044,46.044,46.044,46.044,46.044,126,105,0,0.0
44.54500000000001,7.78360568894479e-15,44.545,44.545,44.545,44.545,44.545,126,105,0,0.0
46.769,0.0,46.769,46.769,46.769,46.769,46.769,126,105,0,0.0
