0,1.85,0.3,1,0.15,0.4,1.85,0.55,1.3,38.459,38.322,38.302,38.338,38.335,38.343,38.339,38.325,18.5,3,10,1.5,4,18.5,5.5,13,711.49,114.97,383.02,57.508,153.34,709.34,210.86,498.22,71.149,11.497,38.302,5.7508,15.334,70.934,21.086,49.822,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
600,1.85,0.3,1,0.15,0.4,1.85,0.55,1.3,38.459,38.322,38.302,38.338,38.335,38.343,38.339,38.325,18.5,3,10,1.5,4,18.5,5.5,13,711.49,114.97,383.02,57.508,153.34,709.34,210.86,498.22,71.149,11.497,38.302,5.7508,15.334,70.934,21.086,49.822,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1200,1.85,0.3,1,0.15,0.4,1.85,0.55,1.3,38.459,38.322,38.302,38.338,38.335,38.343,38.339,38.325,18.5,3,10,1.5,4,18.5,5.5,13,711.49,114.97,383.02,57.508,153.34,709.34,210.86,498.22,71.149,11.497,38.302,5.7508,15.334,70.934,21.086,49.822,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1800,1.85,0.3,1,0.15,0.4,1.85,0.55,1.3,38.459,38.322,38.302,38.338,38.335,38.343,38.339,38.325,18.5,3,10,1.5,4,18.5,5.5,13,711.49,114.97,383.02,57.508,153.34,709.34,210.86,498.22,71.149,11.497,38.302,5.7508,15.334,70.934,21.086,49.822,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2400,1.85,0.3,1,0.15,0.4,1.85,0.55,1.3,38.459,38.322,38.302,38.338,38.335,38.343,38.339,38.325,18.5,3,10,1.5,4,18.5,5.5,13,711.49,114.97,383.02,57.508,153.34,709.34,210.86,498.22,71.149,11.497,38.302,5.7508,15.334,70.934,21.086,49.822,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3000,1.85,0.3,1,0.15,0.4,1.85,0.55,1.3,38.459,38.322,38.302,38.338,38.335,38.343,38.339,38.325,18.5,3,10,1.5,4,18.5,5.5,13,711.49,114.97,383.02,57.508,153.34,709.34,210.86,498.22,71.149,11.497,38.302,5.7508,15.334,70.934,21.086,49.822,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3600,1.25,0.3,0.4,0.15,0.4,1.25,0.55,0.7,46.128,46.063,46.062,46.067,46.064,46.071,46.068,46.066,12.5,3,4,1.5,4,12.5,5.5,7,576.6,138.19,184.25,69.101,184.25,575.89,253.37,322.46,57.66,13.819,18.425,6.9101,18.425,57.589,25.337,32.246,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4200,1.25,0.3,0.4,0.15,0.4,1.25,0.55,0.7,46.128,46.063,46.062,46.067,46.064,46.071,46.068,46.066,12.5,3,4,1.5,4,12.5,5.5,7,576.6,138.19,184.25,69.101,184.25,575.89,253.37,322.46,57.66,13.819,18.425,6.9101,18.425,57.589,25.337,32.246,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4800,1.25,0.3,0.4,0.15,0.4,1.25,0.55,0.7,46.128,46.063,46.062,46.067,46.064,46.071,46.068,46.066,12.5,3,4,1.5,4,12.5,5.5,7,576.6,138.19,184.25,69.101,184.25,575.89,253.37,322.46,57.66,13.819,18.425,6.9101,18.425,57.589,25.337,32.246,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5400,1.25,0.3,0.4,0.15,0.4,1.25,0.55,0.7,46.128,46.063,46.062,46.067,46.064,46.071,46.068,46.066,12.5,3,4,1.5,4,12.5,5.5,7,576.6,138.19,184.25,69.101,184.25,575.89,253.37,322.46,57.66,13.819,18.425,6.9101,18.425,57.589,25.337,32.246,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6000,1.25,0.3,0.4,0.15,0.4,1.25,0.55,0.7,46.128,46.063,46.062,46.067,46.064,46.071,46.068,46.066,12.5,3,4,1.5,4,12.5,5.5,7,576.6,138.19,184.25,69.101,184.25,575.89,253.37,322.46,57.66,13.819,18.425,6.9101,18.425,57.589,25.337,32.246,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6600,1.25,0.3,0.4,0.15,0.4,1.25,0.55,0.7,46.128,46.063,46.062,46.067,46.064,46.071,46.068,46.066,12.5,3,4,1.5,4,12.5,5.5,7,576.6,138.19,184.25,69.101,184.25,575.89,253.37,322.46,57.66,13.819,18.425,6.9101,18.425,57.589,25.337,32.246,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7200,1.1005,0.3,0.4,-6.1511e-20,0.4,1.1005,0.40048,0.7,50.083,50.03,50.029,50.036,50.032,50.039,50.036,50.033,11.005,3,4,-6.1511e-19,4,11.005,4.0048,7,551.15,150.09,200.11,-3.0778e-17,200.13,550.67,200.39,350.23,55.115,15.009,20.011,-3.0778e-18,20.013,55.067,20.039,35.023,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7800,1.0996,0.3,0.4,-0.00048288,0.4,1.0996,0.39956,0.7,50.083,50.031,50.029,50.037,50.033,50.039,50.037,50.033,10.996,3,4,-0.0048288,4,10.996,3.9956,7,550.7,150.09,200.12,-0.24162,200.13,550.21,199.93,350.23,55.07,15.009,20.012,-0.024162,20.013,55.021,19.993,35.023,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8400,1.1,0.3,0.4,-8.9824e-11,0.4,1.1,0.4,0.7,50.083,50.031,50.029,50.037,50.033,50.039,50.037,50.033,11,3,4,-8.9824e-10,4,11,4,7,550.92,150.09,200.12,-4.4945e-08,200.13,550.43,200.15,350.23,55.092,15.009,20.012,-4.4945e-09,20.013,55.043,20.015,35.023,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9000,1.1,0.3,0.4,-4.1323e-11,0.4,1.1,0.40002,0.7,50.083,50.031,50.029,50.037,50.033,50.039,50.037,50.033,11,3,4,-4.1323e-10,4,11,4.0002,7,550.92,150.09,200.12,-2.0677e-08,200.13,550.44,200.16,350.23,55.092,15.009,20.012,-2.0677e-09,20.013,55.044,20.016,35.023,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9600,1.1001,0.3,0.4,-0.00017669,0.4,1.1001,0.40006,0.7,50.083,50.031,50.029,50.037,50.033,50.039,50.037,50.033,11.001,3,4,-0.0017669,4,11.001,4.0006,7,550.95,150.09,200.12,-0.088411,200.13,550.46,200.18,350.23,55.095,15.009,20.012,-0.0088411,20.013,55.046,20.018,35.023,120,126,134,126,134,130,130,130,100,95,95,105,105,100,103,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
