0,3,0.45,0.8,0.75,1,3,1.75,1.25,47.008,46.701,46.691,46.679,46.669,46.723,46.692,46.706,30,4.5,8,7.5,10,30,17.5,12.5,1410.2,210.16,373.53,350.09,466.69,1401.7,817.1,583.83,141.02,21.016,37.353,35.009,46.669,140.17,81.71,58.383,10200,16200,24200,16200,24200,20200,20200,20200,10000,5000,5000,15000,15000,10000,13000,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
600,3,0.45,0.8,0.75,1,3,1.75,1.25,47.008,46.701,46.691,46.679,46.669,46.723,46.692,46.706,30,4.5,8,7.5,10,30,17.5,12.5,1410.2,210.16,373.53,350.09,466.69,1401.7,817.1,583.83,141.02,21.016,37.353,35.009,46.669,140.17,81.71,58.383,10200,16200,24200,16200,24200,20200,20200,20200,10000,5000,5000,15000,15000,10000,13000,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1200,3,0.45,0.8,0.75,1,3,1.75,1.25,47.008,46.701,46.691,46.679,46.669,46.723,46.692,46.706,30,4.5,8,7.5,10,30,17.5,12.5,1410.2,210.16,373.53,350.09,466.69,1401.7,817.1,583.83,141.02,21.016,37.353,35.009,46.669,140.17,81.71,58.383,10200,16200,24200,16200,24200,20200,20200,20200,10000,5000,5000,15000,15000,10000,13000,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1800,3,0.45,0.8,0.75,1,3,1.75,1.25,47.008,46.701,46.691,46.679,46.669,46.723,46.692,46.706,30,4.5,8,7.5,10,30,17.5,12.5,1410.2,210.16,373.53,350.09,466.69,1401.7,817.1,583.83,141.02,21.016,37.353,35.009,46.669,140.17,81.71,58.383,10200,16200,24200,16200,24200,20200,20200,20200,10000,5000,5000,15000,15000,10000,13000,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2400,3,0.45,0.8,0.75,1,3,1.75,1.25,47.008,46.701,46.691,46.679,46.669,46.723,46.692,46.706,30,4.5,8,7.5,10,30,17.5,12.5,1410.2,210.16,373.53,350.09,466.69,1401.7,817.1,583.83,141.02,21.016,37.353,35.009,46.669,140.17,81.71,58.383,10200,16200,24200,16200,24200,20200,20200,20200,10000,5000,5000,15000,15000,10000,13000,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3000,3,0.45,0.8,0.75,1,3,1.75,1.25,47.008,46.701,46.691,46.679,46.669,46.723,46.692,46.706,30,4.5,8,7.5,10,30,17.5,12.5,1410.2,210.16,373.53,350.09,466.69,1401.7,817.1,583.83,141.02,21.016,37.353,35.009,46.669,140.17,81.71,58.383,10200,16200,24200,16200,24200,20200,20200,20200,10000,5000,5000,15000,15000,10000,13000,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3600,2.0395,0.51165,0.488,0.6399,0.4,2.0395,1.0399,0.99965,50.681,50.524,50.525,50.52,50.526,50.542,50.53,50.53,20.395,5.1165,4.88,6.399,4,20.395,10.399,9.9965,1033.7,258.51,246.56,323.28,202.1,1030.8,525.46,505.13,103.37,25.851,24.656,32.328,20.21,103.08,52.546,50.513,10200,16200,24200,16200,24200,20200,20200,20200,10000,5000,5000,15000,15000,10000,13000,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4200,2.0395,0.51165,0.488,0.6399,0.4,2.0395,1.0399,0.99965,50.681,50.524,50.525,50.52,50.526,50.542,50.53,50.53,20.395,5.1165,4.88,6.399,4,20.395,10.399,9.9965,1033.7,258.51,246.56,323.28,202.1,1030.8,525.46,505.13,103.37,25.851,24.656,32.328,20.21,103.08,52.546,50.513,10200,16200,24200,16200,24200,20200,20200,20200,10000,5000,5000,15000,15000,10000,13000,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4800,2.0395,0.51165,0.488,0.6399,0.4,2.0395,1.0399,0.99965,50.681,50.524,50.525,50.52,50.526,50.542,50.53,50.53,20.395,5.1165,4.88,6.399,4,20.395,10.399,9.9965,1033.7,258.51,246.56,323.28,202.1,1030.8,525.46,505.13,103.37,25.851,24.656,32.328,20.21,103.08,52.546,50.513,10200,16200,24200,16200,24200,20200,20200,20200,10000,5000,5000,15000,15000,10000,13000,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5400,2.0395,0.51165,0.488,0.6399,0.4,2.0395,1.0399,0.99965,50.681,50.524,50.525,50.52,50.526,50.542,50.53,50.53,20.395,5.1165,4.88,6.399,4,20.395,10.399,9.9965,1033.7,258.51,246.56,323.28,202.1,1030.8,525.46,505.13,103.37,25.851,24.656,32.328,20.21,103.08,52.546,50.513,10200,16200,24200,16200,24200,20200,20200,20200,10000,5000,5000,15000,15000,10000,13000,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
